Country Name,Country Code,Region,Income_Group
Tonga,TON,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto
Asia meridional (BIRF y la AIF),TSA,Sin Asignar,Agregados
África al sur del Sahara (BIRF y la AIF),TSS,Sin Asignar,Agregados
Trinidad y Tobago,TTO,Sin Asignar,Ingreso alto
Túnez,TUN,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso mediano bajo
Turquía,TUR,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Tuvalu,TUV,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto
Tanzanía,TZA,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Uganda,UGA,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Ucrania,UKR,Europa y Asia central (excluido altos ingresos),Países de ingreso mediano bajo
Ingreso mediano alto,UMC,Sin Asignar,Agregados
Uruguay,URY,Sin Asignar,Ingreso alto
Estados Unidos,USA,Sin Asignar,Ingreso alto
Uzbekistán,UZB,Europa y Asia central (excluido altos ingresos),Países de ingreso mediano bajo
San Vicente y las Granadinas,VCT,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Venezuela,VEN,Sin Asignar,No clasificado
Islas Vírgenes Británicas,VGB,Sin Asignar,Ingreso alto
Islas Vírgenes (EE.UU.),VIR,Sin Asignar,Ingreso alto
Viet Nam,VNM,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Vanuatu,VUT,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Mundo,WLD,Sin Asignar,Agregados
Samoa,WSM,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Kosovo,XKX,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
"Yemen, Rep. del",YEM,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso bajo
Sudáfrica,ZAF,África al sur del Sahara (excluido altos ingresos),Ingreso mediano alto
Zambia,ZMB,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Zimbabwe,ZWE,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
